"mood","count","perc"
"indicative",46568,65.2413909047606
"infinitive",13943,19.5340300933061
"subjunctive",5568,7.80072291182157
"participle",2665,3.73364341954104
"gerund",2027,2.83981058589481
"imperative",607,0.850402084675951
